"date" "county" "state.x" "fips" "cases" "deaths" "cases.y" "deaths.y" "sincedeath" "cbsa18" "cbsaname18" "countyn" "popestimate2019" "density" "temp_mar20" "pcpn_mar20" "obesity" "gini" "hhsize" "crowded" "dist" "lndensity" "lncbsapop" "pcases" "pdeaths" "age60plus" "college" "seasonal_units" "hospitality_jobs" "oil_jobs" "black_pct" "hisp_pct" "asian_pct" "wfh_share" "italy_born" "china_born" "transit_modeshare" "wfh_modeshare" "name" "state.y" "census_region" "pop_dens" "pop_dens4" "pop_dens6" "pct_black" "pop" "female" "white" "black" "travel_time" "land_area" "hh_income" "su_gun4" "su_gun6" "fips.y" "votes_dem_2016" "votes_gop_2016" "total_votes_2016" "per_dem_2016" "per_gop_2016" "diff_2016" "per_dem_2012" "per_gop_2012" "diff_2012" "winner" "partywinner16" "winner12" "partywinner12" "flipped"
"2020-11-02" "Autauga" "Alabama" 1001 2186 31 91 4 37 33860 "Montgomery, AL" "Autauga AL" 55869 360.5407 65.4 6.63 33.2 0.4602 2.59251 1.4 899.46721 5.887605 12.83011 162.881 7.159606 0.2138451 0.2768929 0.0076775 0.2469192 0 0.1934318 0.0296577 0.0120501 0.4027512 0 0.0017754 0.0010644 0.0276322 "Autauga County" "AL" "South" "[   50,  100)" "[ 45,  118)" "[ 82,  215)" "[15.0,25.0)" 55395 51.5 78.1 18.4 26.2 594.44 53682 "[11,54]" "[10,12)" 1001 5908 18110 24661 0.23956855 0.734357893 12202 0.265757664 0.726337362 11012 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Baldwin" "Alabama" 1003 6985 71 227 7 42 19300 "Daphne-Fairhope-Foley, AL" "Baldwin AL" 223234 174.8945 68.4 0.81 31.1 0.4609 2.612515 1.3 1048.786 5.164183 12.31598 101.687 3.135723 0.276284 0.3134588 0.0839162 0.2335901 0.0004046 0.0878398 0.0464678 0.0113429 0.3742726 0.0001922 0.0022152 0.000897 0.0613323 "Baldwin County" "AL" "South" "[  100,  500)" "[118,71672]" "[ 82,  215)" "[ 5.0,10.0)" 200111 51.2 87.3 9.5 25.9 1589.78 50221 "[11,54]" "[10,12)" 1003 18409 72780 94090 0.195653098 0.77351472 54371 0.215665741 0.773897491 47443 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Barbour" "Alabama" 1005 1065 9 67 1 14 21640 "Eufaula, AL-GA" "Barbour AL" 24686 73.61488 65.5 5.61 41.7 0.4731 2.494043 3.4 881.80767 4.298847 10.20304 271.4089 4.050879 0.2559383 0.1221593 0.083103 0.0962833 0 0.4803264 0.0427636 0.0045416 0.3049105 0 0 0.0025767 0.0130007 "Barbour County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[ 25,   45)" "[25.0,50.0)" 26887 46.5 50.2 47.6 24.6 884.88 32911 "[ 5, 8)" "[ 7, 8)" 1005 4848 5431 10390 0.466602502 0.522714148 583 0.512522908 0.483375513 334 "Trump" "Republican" "Obama" "Democrat" "Yes"
"2020-11-02" "Bibb" "Alabama" 1007 883 15 46 1 5 13820 "Birmingham-Hoover, AL" "Bibb AL" 22394 16.75264 62.6 7.56 37.7 0.4294 2.990175 0.8 902.37928 2.818556 13.90209 205.4122 4.465482 0.2255804 0.1148923 0.0182295 0.0786452 0 0.2112054 0.02625 0.0023214 0.2498901 0 0 0.0046564 0.0261767 "Bibb County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[ 25,   45)" "[15.0,25.0)" 22506 46 76.3 22.1 27.6 622.58 36447 "[11,54]" "[10,12)" 1007 1874 6733 8748 0.214220393 0.769661637 4859 0.262185675 0.730663806 3931 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Blount" "Alabama" 1009 2108 25 45 0 0 13820 "Birmingham-Hoover, AL" "Blount AL" 57826 35.84307 59.9 9.12 33.7 0.4331 2.770917 1.6 837.44841 3.57915 13.90209 77.81966 0 0.2460408 0.1264289 0.0123441 0.1167795 0 0.0146266 0.0957123 0.0027835 0.3080395 0.0002082 0.0004857 0.0014659 0.0225553 "Blount County" "AL" "South" "[   50,  100)" "[ 45,  118)" "[ 82,  215)" "[ 0.0, 2.0)" 57719 50.6 96 1.8 33.9 644.78 44145 "[11,54]" "[10,12)" 1009 2150 22808 25384 0.084699023 0.898518752 20658 0.123477898 0.864929108 17780 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Bullock" "Alabama" 1011 655 17 26 1 7 NA NA "Bullock AL" 10101 9.290742 64.6 5.64 37.1 0.5174 2.751593 0 883.81781 2.229018 9.220389 257.4003 9.90001 0.2307161 0.1330236 0.0349094 0.0434783 0 0.6954035 0.0796015 0.0012823 0.2492792 0 0 0 0.0274112 "Bullock County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[  9,   25)" "[50.0,85.3]" 10764 45.2 27.2 69.9 26.9 622.81 32033 "[ 0, 5)" "[ 0, 4)" 1011 3530 1139 4701 0.750904063 0.242288875 2391 0.763068823 0.235050771 2808 "Clinton" "Democrat" "Obama" "Democrat" "No"
"2020-11-02" "Butler" "Alabama" 1013 1026 41 224 6 17 NA NA "Butler AL" 19448 56.17489 66.3 3.94 43.9 0.4708 2.935081 1.8 940.9161 4.02847 9.8755 1151.789 30.8515 0.2762195 0.1609303 0.0244365 0.1310379 0 0.4455793 0.0150915 0.0127033 0.2796462 0 0 0 0.0157034 "Butler County" "AL" "South" "[   10,   50)" "[ 17,   45)" "[ 25,   45)" "[25.0,50.0)" 20296 53.4 54.3 43.6 24 776.83 29918 "[ 8,11)" "[10,12)" 1013 3716 4891 8685 0.427864134 0.563154865 1175 0.460508278 0.535800907 714 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Calhoun" "Alabama" 1015 4925 65 126 3 27 11500 "Anniston-Oxford, AL" "Calhoun AL" 113605 235.0704 60.4 9.16 38.5 0.4676 2.485263 1.7 812.80662 5.459885 11.64048 110.9106 2.640729 0.24606 0.1796803 0.0195224 0.1386739 0 0.2085021 0.0391067 0.0093195 0.3092732 0.0001129 0.0006342 0.003224 0.0305216 "Calhoun County" "AL" "South" "[  100,  500)" "[118,71672]" "[ 82,  215)" "[15.0,25.0)" 115916 51.7 76 20.9 22.5 605.87 39962 "[11,54]" "[10,12)" 1015 13197 32803 47376 0.278558764 0.692396994 19606 0.335207612 0.65467128 14772 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Chambers" "Alabama" 1017 1397 47 324 21 45 29300 "LaGrange, GA-AL" "Chambers AL" 33254 146.2033 61 5.67 40.2 0.4568 2.463224 3 831.06845 4.984998 11.54419 974.3189 63.1503 0.2671724 0.1323205 0.0468759 0.1301638 0 0.3956567 0.0256136 0.0126729 0.2788442 0 0 0.0018755 0.0179216 "Chambers County" "AL" "South" "[   50,  100)" "[ 45,  118)" "[ 45,   82)" "[25.0,50.0)" 34076 52 58.8 39.1 24.6 596.53 32402 "[ 8,11)" "[ 8,10)" 1017 5763 7803 13778 0.418275512 0.56633764 2040 0.470608433 0.521631644 743 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Cherokee" "Alabama" 1019 791 15 24 0 0 NA NA "Cherokee AL" 26196 27.57655 58.6 7.24 34.8 0.4539 2.410537 1.5 784.21495 3.316966 10.17336 91.61704 0 0.3097726 0.1289027 0.1916399 0.1162325 0 0.0424093 0.0162108 0.00315 0.2481244 0 0.000967 0.0022748 0.0174749 "Cherokee County" "AL" "South" "[   10,   50)" "[ 45,  118)" "[ 45,   82)" "[ 2.0, 5.0)" 26037 50.4 93.2 4.5 26.9 553.7 34907 "[11,54]" "[12,54]" 1019 1524 8809 10503 0.1451014 0.838712749 7285 0.217805553 0.767749206 5368 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Chilton" "Alabama" 1021 1958 33 69 1 21 13820 "Birmingham-Hoover, AL" "Chilton AL" 44428 46.41027 63.6 7.92 38.1 0.4845 2.597485 2.7 889.5034 3.837521 13.90209 155.3075 2.250833 0.2332118 0.1416104 0.0264475 0.123036 0 0.0996761 0.0792698 0.0044165 0.2846811 0 0 0 0.0249317 "Chilton County" "AL" "South" "[   50,  100)" "[ 45,  118)" "[ 45,   82)" "[10.0,15.0)" 43931 50.8 87.5 10.3 31.8 692.85 41250 "[11,54]" "[10,12)" 1021 2909 15068 18255 0.159353602 0.825417694 12159 0.19450499 0.797866238 10519 "Trump" "Republican" "Romney" "Republican" "No"
"2020-11-02" "Choctaw" "Alabama" 1023 395 12 69 1 1 NA NA "Choctaw AL" 12589 6.47058 66.2 4.14 41.1 0.4809 2.407968 1.4 996.99566 1.867266 9.440578 548.0975 7.943443 0.3046492 0.129822 0.0740741 0.0522946 0 0.4151546 0.0104353 0.0015575 0.255061 0 0 0 0.0184109 "Choctaw County" "AL" "South" "[   10,   50)" "[  0,   17)" "[  9,   25)" "[25.0,50.0)" 13323 52.5 56.2 42.7 33.4 913.5 33941 "[ 8,11)" "[ 8,10)" 1023 3109 4102 7268 0.427765548 0.564391855 993 0.475204018 0.521029504 365 "Trump" "Republican" "Romney" "Republican" "No"
