"state" "County" "Margin2020" "votes" "counted"
"Alabama" "Jefferson" 13 325848 98
"Alabama" "Madison" -8 194767 98
"Alabama" "Mobile" -12 183164 98
"Alabama" "Shelby" -40 114950 98
"Alabama" "Baldwin" -54 109679 98
"Alabama" "Montgomery" 31 99139 98
"Alabama" "Tuscaloosa" -15 90172 98
"Alabama" "Lee" -20 71449 98
"Alabama" "Morgan" -49 53722 98
"Alabama" "Calhoun" -39 50983 98
"Alabama" "Limestone" -43 49235 98
"Alabama" "Etowah" -50 47728 98
"Alabama" "Houston" -43 46173 98
"Alabama" "St. Clair" -64 44441 98
"Alabama" "Lauderdale" -45 44339 98
"Alabama" "Cullman" -77 41851 98
"Alabama" "Elmore" -48 41030 98
"Alabama" "Marshall" -69 39655 98
"Alabama" "Talladega" -26 35663 98
"Alabama" "Walker" -68 31170 98
"Alabama" "DeKalb" -70 29356 98
"Alabama" "Colbert" -39 27886 98
"Alabama" "Autauga" -44 27770 98
"Alabama" "Blount" -80 27588 98
"Alabama" "Jackson" -67 23636 98
"Alabama" "Coffee" -53 22275 98
"Alabama" "Russell" 6 21329 98
"Alabama" "Tallapoosa" -43 20991 98
"Alabama" "Dale" -46 19738 98
"Alabama" "Chilton" -67 19310 98
"Alabama" "Dallas" 38 17864 98
"Alabama" "Covington" -68 17430 98
"Alabama" "Lawrence" -55 16031 98
"Alabama" "Escambia" -37 15910 98
"Alabama" "Chambers" -16 15284 98
"Alabama" "Pike" -17 13841 98
"Alabama" "Marion" -78 13807 98
"Alabama" "Clarke" -12 13135 98
"Alabama" "Franklin" -66 12578 98
"Alabama" "Geneva" -74 12545 98
"Alabama" "Cherokee" -73 12301 98
"Alabama" "Winston" -82 11284 98
"Alabama" "Marengo" 1.3 10900 98
"Alabama" "Randolph" -59 10837 98
"Alabama" "Monroe" -16 10668 98
"Alabama" "Barbour" -8 10518 98
"Alabama" "Pickens" -16 9668 98
"Alabama" "Bibb" -58 9595 98
"Alabama" "Butler" -16 9488 98
"Alabama" "Henry" -43 9298 98
"Alabama" "Washington" -49 8876 98
"Alabama" "Fayette" -67 8766 98
"Alabama" "Macon" 64 8723 98
"Alabama" "Hale" 19 7900 98
"Alabama" "Choctaw" -16 7464 98
"Alabama" "Cleburne" -80 7227 98
"Alabama" "Lamar" -72 7193 98
"Alabama" "Clay" -63 6930 98
"Alabama" "Lowndes" 46 6835 98
"Alabama" "Crenshaw" -48 6617 98
"Alabama" "Conecuh" -7 6441 98
"Alabama" "Sumter" 48 6291 98
"Alabama" "Wilcox" 38 5903 98
"Alabama" "Coosa" -33 5479 98
"Alabama" "Perry" 48 5230 98
"Alabama" "Greene" 63 4775 98
"Alabama" "Bullock" 50 4613 98
"Alaska" "ED 38" 28 5299 96
"Alaska" "ED 28" -26 25580 98
"Alaska" "ED 26" -24 20292 98
"Alaska" "ED 27" -25 19037 98
"Alaska" "ED 31" -15 12481 98
"Alaska" "ED 14" -21 11534 98
"Alaska" "ED 12" -44 11280 98
"Alaska" "ED 10" -48 11256 98
"Alaska" "ED 9" -45 11047 98
"Alaska" "ED 33" 41 11016 98
"Alaska" "ED 34" 11 10794 98
"Alaska" "ED 29" -42 10784 98
"Alaska" "ED 11" -37 10686 98
"Alaska" "ED 4" 6 10587 98
"Alaska" "ED 24" -6 10484 98
"Alaska" "ED 30" -44 10226 98
"Alaska" "ED 35" 2 10149 98
"Alaska" "ED 8" -57 9957 98
"Alaska" "ED 7" -50 9664 98
"Alaska" "ED 22" -1.4 9597 98
"Alaska" "ED 6" -26 9518 98
"Alaska" "ED 21" 18 9482 98
"Alaska" "ED 25" 2 9369 98
"Alaska" "ED 36" -14 9292 98
"Alaska" "ED 5" 1.5 8706 98
"Alaska" "ED 3" -50 8385 98
"Alaska" "ED 32" -11 8361 98
"Alaska" "ED 16" 9 8170 98
"Alaska" "ED 23" 2 7796 98
"Alaska" "ED 13" -26 7765 98
"Alaska" "ED 18" 25 7759 98
"Alaska" "ED 20" 33 7544 98
"Alaska" "ED 1" -0.46 7360 98
"Alaska" "ED 17" 18 7271 98
"Alaska" "ED 2" -25 6161 98
"Alaska" "ED 39" 28 5930 98
"Alaska" "ED 15" -0.88 5593 98
"Alaska" "ED 19" 21 5338 98
"Alaska" "ED 37" 4 5168 98
